studentId,mobile,address,name,qualification,courseInterested,counsellor,status
73,810-567-0649,"So Joo dos Inhamuns",Prisk,Goldenrod,Mauv,Theobald,Ms
74,934-741-2651,"Santiago de Cuba",Worham,Blue,Fuscia,Odessa,Mr
75,301-495-5199,Zoetermeer,Ritmeier,Khaki,Turquoise,Hollis,Rev
76,377-185-1586,Shibukawa,Firby,Red,Blue,Milo,Rev
77,877-581-5321,"Spanish Town",Hodgon,Indigo,Teal,Tressa,Ms
78,152-555-4262,Huaiya,Pacht,Maroon,Khaki,Enid,Ms
79,120-100-3079,"Lom Sak",Minthorpe,Teal,Fuscia,Robinet,Mrs
80,182-363-5973,Hitoyoshi,Leirmonth,Goldenrod,Turquoise,Alli,Honorable
81,281-781-8465,Nanchoc,Alderson,Turquoise,Puce,Aliza,Honorable
82,940-366-7155,Envigado,Thorold,Khaki,Turquoise,Massimo,Ms
83,252-550-7681,Yangzhen,Turmell,Turquoise,Blue,Yehudi,Mrs
84,203-517-9323,Cotabato,Shafier,Puce,Teal,Lenore,Dr
85,155-860-7784,"R Ceballos",Belchambers,Green,Indigo,Cathy,Mrs
86,224-235-2972,Canoas,Wakely,Khaki,Blue,Marcelia,Dr
87,864-922-8537,Reims,Feveryear,Pink,Teal,Calida,Mrs
88,315-928-9957,Kihurio,Gomersal,Fuscia,Aquamarine,Ermengarde,Mrs
89,815-903-8920,Pochuta,Vogeler,Crimson,Goldenrod,Chariot,Ms
90,689-519-6916,Morazn,Jaray,Teal,Orange,Tandy,Honorable
91,163-218-3068,Warugunung,Flexman,Yellow,Turquoise,Stillmann,Ms
92,551-311-5792,"Vale de Figueira",Weinberg,Violet,Puce,Sonnie,Mrs
93,425-680-9783,"Paris La Dfense",Cars,Maroon,Violet,Eleanor,Ms
94,748-147-5211,Hgersten,Gaitskill,Aquamarine,Violet,Denver,Rev
95,626-820-6915,Pasadena,Muck,Mauv,Blue,Georgeanna,Rev
96,429-138-6487,Haligue,Wickmann,Maroon,Violet,Tandie,Rev
97,167-270-7362,Xianghe,Wedlake,Purple,Green,Leonelle,Dr
98,317-729-7924,Venda,Tweedie,Khaki,Aquamarine,Britteny,Honorable
99,918-831-7825,Armash,Simonson,Teal,Violet,Betteann,Honorable
100,905-671-0850,Troms,Davydzenko,Aquamarine,Blue,Cathy,Ms
